函数名,独占样本数,独占样本数百分比,非独占样本数,非独占样本数百分比,源行开始,源字符开始,源行结束,源字符结束,
"std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",12,0.16,141,1.91,0,0,0,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::_Wrap_alloc<std::allocator<std::_Container_proxy> ><std::allocator<bool> >",12,0.16,16,0.22,817,0,817,0,
"std::allocator<unsigned int>::deallocate",12,0.16,31,0.42,573,0,573,0,
"AutoCompleteManager::Entry::operator<",11,0.15,251,3.40,41,0,41,0,
"std::_Allocate<std::_Container_proxy>",11,0.15,11,0.15,22,0,22,0,
"std::_Bitmap::_Mark",11,0.15,11,0.15,"1,599",0,"1,599",0,
"std::_Destroy_range<std::_Wrap_alloc<std::allocator<unsigned int> > >",11,0.15,11,0.15,95,0,95,0,
"std::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>",11,0.15,20,0.27,0,0,0,0,
"std::_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>",11,0.15,82,1.11,0,0,0,0,
"std::_String_val<std::_Simple_types<char> >::_Myptr",11,0.15,11,0.15,510,0,510,0,
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >",11,0.15,79,1.07,214,0,214,0,
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >::~_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >",11,0.15,129,1.75,0,0,0,0,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",11,0.15,138,1.87,0,0,0,0,
"std::_Vector_val<std::_Simple_types<unsigned int> >::~_Vector_val<std::_Simple_types<unsigned int> >",11,0.15,12,0.16,0,0,0,0,
"std::allocator_traits<std::allocator<std::_Container_proxy> >::destroy<std::_Container_proxy>",11,0.15,11,0.15,728,0,728,0,
