函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"std::_Debug_pointer<std::_Tgt_state_t<char const *>::_Grp_t>",5,5,0.07,0.07,
"std::_Debug_range<unsigned int const *>",14,5,0.19,0.07,
"std::_Destroy_node",165,5,2.23,0.07,
"std::_Destroy_range<std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",35,5,0.47,0.07,
"std::_Destroy_range<std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",25,5,0.34,0.07,
"std::_Node_class<char,std::regex_traits<char> >::_Node_class<char,std::regex_traits<char> >",5,5,0.07,0.07,
"std::_Ptr_cat<std::_Loop_vals_t,std::_Loop_vals_t>",7,5,0.09,0.07,
"std::_Tree_val<std::_Tree_simple_types<wxString> >::_Left",5,5,0.07,0.07,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Destroy_if_not_nil",5,5,0.07,0.07,
"std::_Unchecked<unsigned int *>",5,5,0.07,0.07,
"std::_Uninit_copy<unsigned int const ,unsigned int>",21,5,0.28,0.07,
"std::_Uninitialized_copy<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >,std::_Tgt_state_t<char const *>::_Grp_t *,std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",165,5,2.23,0.07,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >::_Alloc_proxy",97,5,1.31,0.07,
