函数名,独占样本数,独占样本数百分比,指令地址,源行开始,源字符开始,源行结束,源字符结束,
"std::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >,bool>::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >,bool><std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > > &,bool,void>",6,0.08,0x01682BAB,144,0,144,0,
"std::vector<bool,std::allocator<bool> >::operator=",6,0.08,0x0178229D,"2,561",0,"2,561",0,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::_Tidy",6,0.08,0x01792BBD,"1,622",0,"1,622",0,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::~vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",6,0.08,0x017812FD,944,0,944,0,
"std::vector<unsigned int,std::allocator<bool> >::get_allocator",6,0.08,0x0179786D,"1,162",0,"1,162",0,
"wxStringBase::c_str",6,0.08,0x01688559,527,0,527,0,
"wxStringBase::GetStringData",6,0.08,0x0167FA4F,265,0,265,0,
"wxStringBase::GetStringData",6,0.08,0x0167FA50,265,0,265,0,
"wxStringBase::wxStringBase",6,0.08,0x0167CC8D,347,0,347,0,
"?AllocBuffer@wxStringBase@@IAE_NI@Z",5,0.07,0x017C6B9F,0,0,0,0,
"[KERNELBASE.dll]",5,0.07,0x75445615,0,0,0,0,
"[MSVCP120D.dll]",5,0.07,0x0F60AF0A,0,0,0,0,
"[MSVCP120D.dll]",5,0.07,0x0F60AF12,0,0,0,0,
"[ntdll.dll]",5,0.07,0x77612286,0,0,0,0,
"[ntdll.dll]",5,0.07,0x77612289,0,0,0,0,
"[ntdll.dll]",5,0.07,0x77628D45,0,0,0,0,
"operator new",5,0.07,0x0167D831,59,0,59,0,
"std::_Bt_state_t<char const *>::~_Bt_state_t<char const *>",5,0.07,0x0178022D,0,0,0,0,
"std::_Buf<char>::_Insert",5,0.07,0x0178DE9D,"1,556",0,"1,556",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_char_to_array",5,0.07,0x01786326,"3,708",0,"3,708",0,
"std::_Copy_impl<unsigned int *,unsigned int *>",5,0.07,0x0173A961,"2,056",0,"2,056",0,
"std::_Iterator_base12::_Adopt",5,0.07,0x01686AF8,163,0,163,0,
"std::_Iterator_base12::_Orphan_me",5,0.07,0x01687BF9,197,0,197,0,
